01-09-2015T00:00:00 - morning , Heavy Traffic, Mechanical Problem, Other, 
02-09-2015T00:00:00 - afternoon , Mechanical Problem, Problem Run, Other, morning , Heavy Traffic, Mechanical Problem, Problem Run, 
03-09-2015T00:00:00 - afternoon , Mechanical Problem, Problem Run, Other, morning , Mechanical Problem, Problem Run, Won`t Start, 
04-09-2015T00:00:00 - afternoon , Mechanical Problem, Other, Problem Run, morning , Mechanical Problem, Other, Won`t Start, 
08-09-2015T00:00:00 - afternoon , Other, Delayed by School, Heavy Traffic, morning , Delayed by School, Flat Tire, Other, 
09-09-2015T00:00:00 - afternoon , Other, Delayed by School, Heavy Traffic, morning , Weather Conditions, Delayed by School, Heavy Traffic, 
10-09-2015T00:00:00 - afternoon , Other, Heavy Traffic, Mechanical Problem, morning , Heavy Traffic, Other, Mechanical Problem, 
11-09-2015T00:00:00 - afternoon , Other, Weather Conditions, Heavy Traffic, morning , Delayed by School, Won`t Start, Heavy Traffic, 
15-09-2015T00:00:00 - morning , Mechanical Problem, Problem Run, Flat Tire, 
16-09-2015T00:00:00 - afternoon , Other, Heavy Traffic, Problem Run, morning , Heavy Traffic, Mechanical Problem, Other, 
17-09-2015T00:00:00 - afternoon , Other, Heavy Traffic, Problem Run, morning , Heavy Traffic, Problem Run, Mechanical Problem, 
18-09-2015T00:00:00 - afternoon , Other, Problem Run, Heavy Traffic, afternoon , Other, Mechanical Problem, Heavy Traffic, 
21-09-2015T00:00:00 - morning , Other, Mechanical Problem, Heavy Traffic, 
22-09-2015T00:00:00 - afternoon , Problem Run, Other, Mechanical Problem, morning , Heavy Traffic, Mechanical Problem, Other, 
24-09-2015T00:00:00 - morning , Heavy Traffic, Flat Tire, Other, 
25-09-2015T00:00:00 - afternoon , Other, Problem Run, Heavy Traffic, morning , Heavy Traffic, Other, Problem Run, 
28-09-2015T00:00:00 - afternoon , Other, Heavy Traffic, Problem Run, morning , Mechanical Problem, Heavy Traffic, Problem Run, 
29-09-2015T00:00:00 - afternoon , Other, Heavy Traffic, Problem Run, morning , Weather Conditions, Heavy Traffic, Mechanical Problem, 
30-09-2015T00:00:00 - afternoon , Weather Conditions, Problem Run, Other, morning , Weather Conditions, Mechanical Problem, Problem Run, 
01-10-2015T00:00:00 - morning , Weather Conditions, Problem Run, Mechanical Problem, 
02-10-2015T00:00:00 - afternoon , Other, Problem Run, Heavy Traffic, afternoon , Other, Problem Run, Heavy Traffic, 
05-10-2015T00:00:00 - morning , Mechanical Problem, Problem Run, Other, 
06-10-2015T00:00:00 - afternoon , Problem Run, Mechanical Problem, Other, morning , Mechanical Problem, Problem Run, Other, 
07-10-2015T00:00:00 - afternoon , Other, Heavy Traffic, Problem Run, morning , Mechanical Problem, Heavy Traffic, Problem Run, 
08-10-2015T00:00:00 - afternoon , Other, Problem Run, Heavy Traffic, morning , Problem Run, Mechanical Problem, Other, 
09-10-2015T00:00:00 - afternoon , Other, Problem Run, Heavy Traffic, morning , Heavy Traffic, Problem Run, Other, 
13-10-2015T00:00:00 - afternoon , Other, Heavy Traffic, Mechanical Problem, morning , Mechanical Problem, Heavy Traffic, Other, 
14-10-2015T00:00:00 - afternoon , Heavy Traffic, Other, Late return from Field Trip, morning , Mechanical Problem, Other, Late return from Field Trip, 
15-10-2015T00:00:00 - morning , Heavy Traffic, Other, Late return from Field Trip, 
19-10-2015T00:00:00 - afternoon , Other, Heavy Traffic, Mechanical Problem, morning , Mechanical Problem, Heavy Traffic, Other, 
20-10-2015T00:00:00 - morning , Heavy Traffic, Problem Run, Other, 
21-10-2015T00:00:00 - afternoon , Heavy Traffic, Other, Won`t Start, morning , Heavy Traffic, Other, Flat Tire, 
22-10-2015T00:00:00 - afternoon , Other, Heavy Traffic, Mechanical Problem, morning , Heavy Traffic, Mechanical Problem, Other, 
23-10-2015T00:00:00 - afternoon , Other, Heavy Traffic, Late return from Field Trip, 
26-10-2015T00:00:00 - morning , Mechanical Problem, Heavy Traffic, Other, 
27-10-2015T00:00:00 - afternoon , Other, Heavy Traffic, Mechanical Problem, morning , Flat Tire, Heavy Traffic, Other, 
28-10-2015T00:00:00 - afternoon , Other, Heavy Traffic, Late return from Field Trip, morning , Heavy Traffic, Weather Conditions, Late return from Field Trip, 
29-10-2015T00:00:00 - afternoon , Other, Weather Conditions, Heavy Traffic, morning , Mechanical Problem, Weather Conditions, Heavy Traffic, 
30-10-2015T00:00:00 - afternoon , Other, Weather Conditions, Heavy Traffic, afternoon , Other, Won`t Start, Heavy Traffic, 
02-11-2015T00:00:00 - afternoon , Other, Weather Conditions, Heavy Traffic, 
03-11-2015T00:00:00 - morning , Other, Flat Tire, Weather Conditions, 
04-11-2015T00:00:00 - afternoon , Other, Heavy Traffic, Mechanical Problem, morning , Heavy Traffic, Other, Flat Tire, 
05-11-2015T00:00:00 - afternoon , Other, Heavy Traffic, Late return from Field Trip, morning , Heavy Traffic, Other, Flat Tire, 
06-11-2015T00:00:00 - afternoon , Other, Heavy Traffic, Mechanical Problem, 
09-11-2015T00:00:00 - morning , Other, Heavy Traffic, Weather Conditions, 
10-11-2015T00:00:00 - afternoon , Other, Heavy Traffic, Late return from Field Trip, morning , Mechanical Problem, Heavy Traffic, Other, 
12-11-2015T00:00:00 - morning , Other, Won`t Start, Mechanical Problem, 
13-11-2015T00:00:00 - afternoon , Other, Heavy Traffic, Late return from Field Trip, afternoon , Other, Heavy Traffic, Mechanical Problem, 
16-11-2015T00:00:00 - morning , Other, Mechanical Problem, Heavy Traffic, 
17-11-2015T00:00:00 - afternoon , Other, Heavy Traffic, Mechanical Problem, morning , Heavy Traffic, Other, Won`t Start, 
18-11-2015T00:00:00 - afternoon , Other, Heavy Traffic, Late return from Field Trip, morning , Mechanical Problem, Heavy Traffic, Other, 
19-11-2015T00:00:00 - afternoon , Other, Heavy Traffic, Late return from Field Trip, afternoon , Other, Heavy Traffic, Delayed by School, 
20-11-2015T00:00:00 - afternoon , Other, Heavy Traffic, Flat Tire, 
23-11-2015T00:00:00 - morning , Heavy Traffic, Other, Won`t Start, 
24-11-2015T00:00:00 - afternoon , Other, Heavy Traffic, Late return from Field Trip, morning , Heavy Traffic, Other, Mechanical Problem, 
25-11-2015T00:00:00 - afternoon , Other, Heavy Traffic, Problem Run, morning , Heavy Traffic, Other, Mechanical Problem, 
30-11-2015T00:00:00 - afternoon , Other, Heavy Traffic, Flat Tire, morning , Weather Conditions, Heavy Traffic, Other, 
01-12-2015T00:00:00 - afternoon , Weather Conditions, Other, Heavy Traffic, morning , Weather Conditions, Heavy Traffic, Mechanical Problem, 
02-12-2015T00:00:00 - afternoon , Other, Heavy Traffic, Weather Conditions, morning , Heavy Traffic, Weather Conditions, Mechanical Problem, 
03-12-2015T00:00:00 - afternoon , Other, Weather Conditions, Heavy Traffic, morning , Weather Conditions, Mechanical Problem, Heavy Traffic, 
04-12-2015T00:00:00 - afternoon , Other, Weather Conditions, Heavy Traffic, afternoon , Weather Conditions, Other, Heavy Traffic, 
07-12-2015T00:00:00 - morning , Weather Conditions, Heavy Traffic, Mechanical Problem, 
08-12-2015T00:00:00 - afternoon , Weather Conditions, Heavy Traffic, Other, morning , Weather Conditions, Heavy Traffic, Mechanical Problem, 
09-12-2015T00:00:00 - afternoon , Weather Conditions, Other, Heavy Traffic, morning , Weather Conditions, Heavy Traffic, Mechanical Problem, 
10-12-2015T00:00:00 - afternoon , Weather Conditions, Heavy Traffic, Other, morning , Weather Conditions, Heavy Traffic, Mechanical Problem, 
11-12-2015T00:00:00 - afternoon , Other, Heavy Traffic, Mechanical Problem, 
14-12-2015T00:00:00 - morning , Heavy Traffic, Other, Flat Tire, 
15-12-2015T00:00:00 - afternoon , Other, Heavy Traffic, Problem Run, morning , Heavy Traffic, Mechanical Problem, Problem Run, 
16-12-2015T00:00:00 - afternoon , Other, Heavy Traffic, Mechanical Problem, morning , Mechanical Problem, Heavy Traffic, Problem Run, 
17-12-2015T00:00:00 - afternoon , Other, Heavy Traffic, Problem Run, morning , Heavy Traffic, Other, Problem Run, 
18-12-2015T00:00:00 - afternoon , Problem Run, Late return from Field Trip, Other, afternoon , Other, Heavy Traffic, Mechanical Problem, 
21-12-2015T00:00:00 - morning , Weather Conditions, Heavy Traffic, Mechanical Problem, 
22-12-2015T00:00:00 - afternoon , Other, Heavy Traffic, Weather Conditions, morning , Heavy Traffic, Weather Conditions, Mechanical Problem, 
23-12-2015T00:00:00 - afternoon , Other, Flat Tire, Heavy Traffic, 
28-12-2015T00:00:00 - morning , Late return from Field Trip, Flat Tire, Delayed by School, 
04-01-2016T00:00:00 - afternoon , Other, Heavy Traffic, Mechanical Problem, morning , Won`t Start, Heavy Traffic, Other, 
05-01-2016T00:00:00 - afternoon , Other, Mechanical Problem, Heavy Traffic, morning , Mechanical Problem, Other, Flat Tire, 
06-01-2016T00:00:00 - afternoon , Other, Mechanical Problem, Heavy Traffic, morning , Heavy Traffic, Mechanical Problem, Flat Tire, 
07-01-2016T00:00:00 - afternoon , Other, Heavy Traffic, Mechanical Problem, morning , Heavy Traffic, Other, Won`t Start, 
08-01-2016T00:00:00 - morning , Late return from Field Trip, Delayed by School, Won`t Start, 
12-01-2016T00:00:00 - afternoon , Late return from Field Trip, Other, Delayed by School, morning , Won`t Start, Late return from Field Trip, Other, 
13-01-2016T00:00:00 - afternoon , Other, Mechanical Problem, Heavy Traffic, morning , Heavy Traffic, Mechanical Problem, Other, 
14-01-2016T00:00:00 - afternoon , Other, Heavy Traffic, Mechanical Problem, morning , Mechanical Problem, Heavy Traffic, Problem Run, 
15-01-2016T00:00:00 - afternoon , Other, Problem Run, Heavy Traffic, morning , Heavy Traffic, Other, Mechanical Problem, 
19-01-2016T00:00:00 - afternoon , Other, Weather Conditions, Heavy Traffic, morning , Weather Conditions, Mechanical Problem, Heavy Traffic, 
20-01-2016T00:00:00 - morning , Weather Conditions, Won`t Start, Mechanical Problem, 
21-01-2016T00:00:00 - afternoon , Other, Weather Conditions, Heavy Traffic, morning , Weather Conditions, Heavy Traffic, Won`t Start, 
22-01-2016T00:00:00 - morning , Weather Conditions, Heavy Traffic, Mechanical Problem, 
25-01-2016T00:00:00 - afternoon , Heavy Traffic, Other, Weather Conditions, morning , Weather Conditions, Late return from Field Trip, Won`t Start, 
26-01-2016T00:00:00 - afternoon , Other, Heavy Traffic, Late return from Field Trip, morning , Heavy Traffic, Mechanical Problem, Weather Conditions, 
27-01-2016T00:00:00 - afternoon , Other, Heavy Traffic, Mechanical Problem, morning , Heavy Traffic, Flat Tire, Other, 
28-01-2016T00:00:00 - afternoon , Other, Heavy Traffic, Mechanical Problem, morning , Mechanical Problem, Heavy Traffic, Problem Run, 
29-01-2016T00:00:00 - morning , Heavy Traffic, Other, Weather Conditions, 
01-02-2016T00:00:00 - afternoon , Other, Weather Conditions, Heavy Traffic, morning , Weather Conditions, Mechanical Problem, Heavy Traffic, 
02-02-2016T00:00:00 - morning , Weather Conditions, Mechanical Problem, Other, 
03-02-2016T00:00:00 - afternoon , Other, Heavy Traffic, Mechanical Problem, morning , Heavy Traffic, Flat Tire, Mechanical Problem, 
04-02-2016T00:00:00 - afternoon , Other, Heavy Traffic, Problem Run, morning , Weather Conditions, Other, Heavy Traffic, 
05-02-2016T00:00:00 - afternoon , Other, Problem Run, Heavy Traffic, morning , Other, Problem Run, Heavy Traffic, 
08-02-2016T00:00:00 - morning , Problem Run, Won`t Start, Late return from Field Trip, 
09-02-2016T00:00:00 - afternoon , Other, Heavy Traffic, Problem Run, morning , Mechanical Problem, Heavy Traffic, Problem Run, 
10-02-2016T00:00:00 - afternoon , Other, Heavy Traffic, Late return from Field Trip, morning , Heavy Traffic, Late return from Field Trip, Won`t Start, 
11-02-2016T00:00:00 - afternoon , Other, Heavy Traffic, Late return from Field Trip, morning , Won`t Start, Heavy Traffic, Late return from Field Trip, 
