02-09-2015T07:45:00; CAREFUL BUS; 1.0; MAR-CAN TRANSPORT CO. INC; 0.5; THOMAS BUSES INC (B2192); 0.5; BORO TRANSIT, INC.; 0.5; RELIANT TRANS, INC. (B232; 0.5; 
03-09-2015T08:10:00; BORO TRANSIT, INC.; 2.0; MAR-CAN TRANSPORT CO. INC; 1.5; LOGAN BUS COMPANY INC.; 0.8; THOMAS BUSES INC (B2192); 0.5; RELIANT TRANS, INC. (B232; 0.4; 
04-09-2015T12:29:00; MAR-CAN TRANSPORT CO. INC; 2.4; BORO TRANSIT, INC.; 2.2; RELIANT TRANS, INC. (B232; 0.9000000000000001; LOGAN BUS COMPANY INC.; 0.8; VAN TRANS LLC (B2192); 0.3; 
08-09-2015T05:40:00; MAR-CAN TRANSPORT CO. INC; 2.4; BORO TRANSIT, INC.; 2.2; RELIANT TRANS, INC. (B232; 0.9000000000000001; LOGAN BUS COMPANY INC.; 0.8; TWENTY FIRST AV TRANSP (B; 0.5; 
09-09-2015T06:00:00; RELIANT TRANS, INC. (B232; 6.3; BORO TRANSIT, INC.; 6.0; MAR-CAN TRANSPORT CO. INC; 4.2; LEESEL TRANSP CORP (B2192; 2.6999999999999997; G.V.C., LTD.; 2.1; 
10-09-2015T06:00:00; PIONEER TRANSPORTATION CO; 17.299999999999997; RELIANT TRANS, INC. (B232; 16.2; BORO TRANSIT, INC.; 14.100000000000001; LEESEL TRANSP CORP (B2192; 11.4; G.V.C., LTD.; 10.9; 
11-09-2015T06:11:00; RELIANT TRANS, INC. (B232; 27.400000000000002; PIONEER TRANSPORTATION CO; 23.299999999999997; LEESEL TRANSP CORP (B2192; 18.799999999999997; BORO TRANSIT, INC.; 18.700000000000003; G.V.C., LTD.; 15.6; 
14-09-2015T07:00:00; RELIANT TRANS, INC. (B232; 32.9; LEESEL TRANSP CORP (B2192; 29.0; PIONEER TRANSPORTATION CO; 28.4; BORO TRANSIT, INC.; 20.700000000000003; G.V.C., LTD.; 18.299999999999997; 
16-09-2015T07:50:00; RELIANT TRANS, INC. (B232; 36.599999999999994; LEESEL TRANSP CORP (B2192; 32.9; PIONEER TRANSPORTATION CO; 32.2; BORO TRANSIT, INC.; 23.0; G.V.C., LTD.; 20.9; 
17-09-2015T07:50:00; RELIANT TRANS, INC. (B232; 36.599999999999994; LEESEL TRANSP CORP (B2192; 32.9; PIONEER TRANSPORTATION CO; 32.2; G.V.C., LTD.; 21.700000000000003; BORO TRANSIT, INC.; 21.4; 
18-09-2015T07:50:00; RELIANT TRANS, INC. (B232; 31.5; LEESEL TRANSP CORP (B2192; 27.8; G.V.C., LTD.; 25.9; PIONEER TRANSPORTATION CO; 24.2; BORO TRANSIT, INC.; 20.0; 
