08-09-2015T07:31:00; BORO TRANSIT, INC.; 5.199999999999999; MAR-CAN TRANSPORT CO. INC; 2.9; RELIANT TRANS, INC. (B232; 2.8000000000000003; LOGAN BUS COMPANY INC.; 1.5; L & M BUS CORP.; 1.1; 
15-09-2015T07:42:00; RELIANT TRANS, INC. (B232; 31.5; LEESEL TRANSP CORP (B2192; 28.400000000000002; PIONEER TRANSPORTATION CO; 27.799999999999997; G.V.C., LTD.; 19.9; BORO TRANSIT, INC.; 18.900000000000002; 
22-09-2015T07:50:00; RELIANT TRANS, INC. (B232; 68.1; G.V.C., LTD.; 59.7; PIONEER TRANSPORTATION CO; 58.9; LEESEL TRANSP CORP (B2192; 49.5; BORO TRANSIT, INC.; 48.800000000000004; 
29-09-2015T07:50:00; RELIANT TRANS, INC. (B232; 94.19999999999999; G.V.C., LTD.; 72.3; PIONEER TRANSPORTATION CO; 69.6; BORO TRANSIT, INC.; 59.3; LEESEL TRANSP CORP (B2192; 49.5; 
06-10-2015T07:50:00; RELIANT TRANS, INC. (B232; 117.6; G.V.C., LTD.; 105.5; PIONEER TRANSPORTATION CO; 93.3; BORO TRANSIT, INC.; 70.0; LEESEL TRANSP CORP (B2192; 65.6; 
13-10-2015T07:50:00; RELIANT TRANS, INC. (B232; 146.0; G.V.C., LTD.; 135.0; PIONEER TRANSPORTATION CO; 106.0; BORO TRANSIT, INC.; 80.4; NEW DAWN TRANSIT, LLC (B2; 76.0; 
20-10-2015T07:50:00; RELIANT TRANS, INC. (B232; 179.89999999999998; G.V.C., LTD.; 175.4; PIONEER TRANSPORTATION CO; 121.19999999999999; NEW DAWN TRANSIT, LLC (B2; 104.2; LEESEL TRANSP CORP (B2192; 103.3; 
27-10-2015T06:50:00; RELIANT TRANS, INC. (B232; 216.29999999999998; G.V.C., LTD.; 204.5; PIONEER TRANSPORTATION CO; 142.2; LEESEL TRANSP CORP (B2192; 130.1; NEW DAWN TRANSIT, LLC (B2; 120.5; 
03-11-2015T06:57:00; G.V.C., LTD.; 213.0; RELIANT TRANS, INC. (B232; 209.1; PIONEER TRANSPORTATION CO; 134.79999999999998; LEESEL TRANSP CORP (B2192; 130.1; NEW DAWN TRANSIT, LLC (B2; 120.5; 
10-11-2015T07:15:00; RELIANT TRANS, INC. (B232; 191.8; G.V.C., LTD.; 188.5; LEESEL TRANSP CORP (B2192; 134.1; PIONEER TRANSPORTATION CO; 119.6; NEW DAWN TRANSIT, LLC (B2; 116.7; 
17-11-2015T07:16:00; RELIANT TRANS, INC. (B232; 193.20000000000002; G.V.C., LTD.; 192.4; LEESEL TRANSP CORP (B2192; 149.29999999999998; PIONEER TRANSPORTATION CO; 121.69999999999999; NEW DAWN TRANSIT, LLC (B2; 116.7; 
